Individual,Eating Habits,Height (ft),Weight (lbs),Length (ft),Killer rating,Intelligence,Age (millions of yrs),Image
Centrosaurus,Herbivore,6.6,2205,19.7,2,4,76,https://images.fineartamerica.com/images-medium-large-5/centrosaurus-jaime-chirinosscience-photo-library.jpg
Megalosaurus,Carnivore,9.8,2205,29.5,9,8,175,https://images.fineartamerica.com/images/artworkimages/mediumlarge/2/megalosaurus-dinosaur-feeding-mark-p-wittonscience-photo-library.jpg
Protoceratops,Herbivore,4.9,881,6.6,2,4,72,https://images.fineartamerica.com/images-medium-large-5/3-side-profile-of-a-dinosaur-deagostiniuigscience-photo-library.jpg
Giganotosaurus,Carnivore,19.7,17636,52.5,10,7,100,https://images.fineartamerica.com/images/artworkimages/mediumlarge/3/giganotosaurus-in-a-forest-daniel-eskridge.jpg
Brachiosaurus,Herbivore,52.5,17636,85.3,3,2,156,https://render.fineartamerica.com/images/images-profile-flow/400/images/artworkimages/mediumlarge/2/brachiosaurus-valley-daniel-eskridge.jpg
Herrerasaurus,Carnivore,3.3,772,16.4,7,6,230,https://render.fineartamerica.com/images/images-profile-flow/400/images/artworkimages/mediumlarge/3/gallimimus-daniel-eskridge.jpg
Gallimimus,Omnivore,9.8,440.9,18.3,5,7,74,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/9971ddf5-559a-4aad-bca8-05b7ba7571e1/dcs80he-36b0b917-3dd9-4afa-9de4-2381b24b4449.jpg/v1/fill/w_560,h_350,q_70,strp/triceratops_in_a_forest_by_deskridge_dcs80he-350t.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9NjQwIiwicGF0aCI6IlwvZlwvOTk3MWRkZjUtNTU5YS00YWFkLWJjYTgtMDViN2JhNzU3MWUxXC9kY3M4MGhlLTM2YjBiOTE3LTNkZDktNGFmYS05ZGU0LTIzODFiMjRiNDQ0OS5qcGciLCJ3aWR0aCI6Ijw9MTAyNCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.xM5yl1oj6y4lHOpoCoj2IOI8lksTev3ADnqNFRvNa94"
Triceratops,Herbivore,9.8,12125,29.5,2,4,72,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/c6030c83-d20a-444a-bc0b-f41e06f5def1/d3leef3-cc8f2b38-5e00-4076-9021-2aefa7549697.jpg/v1/fit/w_414,h_266,q_70,strp/corythosaurus_by_swordlord3d_d3leef3-414w.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9NTc4IiwicGF0aCI6IlwvZlwvYzYwMzBjODMtZDIwYS00NDRhLWJjMGItZjQxZTA2ZjVkZWYxXC9kM2xlZWYzLWNjOGYyYjM4LTVlMDAtNDA3Ni05MDIxLTJhZWZhNzU0OTY5Ny5qcGciLCJ3aWR0aCI6Ijw9OTAwIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmltYWdlLm9wZXJhdGlvbnMiXX0.8gikha1j1zxrABKavB553UYDgkkrUv1mG4JEXSyd6CY"
Corythosaurus,Herbivore,16.4,11023,26.2,2,5,80,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/c6030c83-d20a-444a-bc0b-f41e06f5def1/d3leef3-cc8f2b38-5e00-4076-9021-2aefa7549697.jpg/v1/fit/w_414,h_266,q_70,strp/corythosaurus_by_swordlord3d_d3leef3-414w.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9NTc4IiwicGF0aCI6IlwvZlwvYzYwMzBjODMtZDIwYS00NDRhLWJjMGItZjQxZTA2ZjVkZWYxXC9kM2xlZWYzLWNjOGYyYjM4LTVlMDAtNDA3Ni05MDIxLTJhZWZhNzU0OTY5Ny5qcGciLCJ3aWR0aCI6Ijw9OTAwIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmltYWdlLm9wZXJhdGlvbnMiXX0.8gikha1j1zxrABKavB553UYDgkkrUv1mG4JEXSyd6CY"
Maiasaura,Herbivore,8.2,6614,29.5,2,3,80,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/392c97f3-119f-4950-af5a-94086c709e42/dc4iw5l-3eb2dc32-8af8-4437-aae1-625ee9d67152.png/v1/fill/w_354,h_250,q_70,strp/maiasaura_by_kookaburrasurvivor_dc4iw5l-250t.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MTEzMiIsInBhdGgiOiJcL2ZcLzM5MmM5N2YzLTExOWYtNDk1MC1hZjVhLTk0MDg2YzcwOWU0MlwvZGM0aXc1bC0zZWIyZGMzMi04YWY4LTQ0MzctYWFlMS02MjVlZTlkNjcxNTIucG5nIiwid2lkdGgiOiI8PTE2MDAifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.6RIY_TGp1VuAwL2JVLhrnH3AXP3UJWKjWXxMSazugVQ"
Dimorphodon,Carnivore,0.82,8.8,0.82,4,4,200,https://render.fineartamerica.com/images/images-profile-flow/400/images/artworkimages/mediumlarge/2/dimorphodon-pterosaur-with-prey-mark-p-wittonscience-photo-library.jpg
Stegosaurus,Herbivore,9.8,6834,29.5,2,1,76,https://render.fineartamerica.com/images/images-profile-flow/400/images/artworkimages/mediumlarge/2/stegosaurus-in-a-wetland-daniel-eskridge.jpg
Hypsilophodon,Herbivore,2.6,110,6.6,1,6,125,http://images.dinosaurpictures.org/hypsilophodon-1024x636_6963.jpg
Camarasaurus,Herbivore,29.5,4409,59.1,3,2,150,https://sites.google.com/site/paleofilescom/_/rsrc/1263956654226/camarasaurus/Camarasaurus.jpg
Styracosaurus,Herbivore,6.6,6614,16.4,2,3,77,https://render.fineartamerica.com/images/images-profile-flow/400/images/artworkimages/mediumlarge/1/styracosaurus-head-daniel-eskridge.jpg
